Train ID	Date	Number of Tickets Sold	Station ID(Departure)
TRN100	12/31/2022	1963	S100
TRN100	12/31/2022	1668	S100
TRN200	12/30/2022	1439	S200
TRN200	12/30/2022	1522	S200
TRN300	12/29/2022	1941	S300
TRN300	12/29/2022	1914	S300
TRN400	12/29/2022	1553	S400
TRN400	12/28/2022	1868	S400
TRN500	12/28/2022	1686	S100
TRN500	12/27/2022	1932	S100
TRN100	12/26/2022	1277	S200
TRN100	12/26/2022	1180	S200
TRN200	12/25/2022	1488	S300
TRN200	12/25/2022	1811	S300
TRN300	12/24/2022	1927	S400
TRN300	12/24/2022	1671	S400
TRN400	12/21/2022	1608	S100
TRN400	12/19/2022	1996	S100
TRN500	12/19/2022	1603	S200
TRN500	12/19/2022	1340	S200
TRN100	12/19/2022	1541	S300
TRN100	12/18/2022	1312	S300
TRN200	12/17/2022	1093	S400
TRN200	12/17/2022	1954	S400
TRN300	12/17/2022	1479	S100
TRN300	12/14/2022	1208	S100
TRN400	12/14/2022	1456	S200
TRN400	12/14/2022	1624	S200
TRN500	12/13/2022	1592	S300
TRN500	12/12/2022	1705	S300
TRN100	12/11/2022	1237	S400
TRN100	12/11/2022	1484	S400
TRN200	12/11/2022	1675	S100
TRN200	12/09/2022	1333	S100
TRN300	12/09/2022	1676	S200
TRN300	12/08/2022	1644	S200
TRN400	12/08/2022	1053	S300
TRN400	12/07/2022	1554	S300
TRN500	12/06/2022	1526	S400
TRN500	12/05/2022	1001	S400
TRN100	12/05/2022	1791	S100
TRN100	12/05/2022	1684	S100
TRN200	12/04/2022	1404	S200
TRN200	12/04/2022	1528	S200
TRN300	12/04/2022	1032	S300
TRN300	12/03/2022	1419	S300
TRN400	12/02/2022	1212	S400
TRN400	12/01/2022	1468	S400
TRN500	12/01/2022	1578	S100
TRN500	12/01/2022	1133	S100
TRN100	11/30/2022	1815	S200
TRN100	11/30/2022	1194	S200
TRN200	11/30/2022	1869	S300
TRN200	11/30/2022	1157	S300
TRN300	11/29/2022	1337	S400
TRN300	11/29/2022	1814	S400
TRN400	11/29/2022	1248	S100
TRN400	11/28/2022	1970	S100
TRN500	11/27/2022	1035	S200
TRN500	11/25/2022	1587	S200
TRN100	11/25/2022	1349	S300
TRN100	11/25/2022	1336	S300
TRN200	11/22/2022	1623	S400
TRN200	11/22/2022	1236	S400
TRN300	11/22/2022	1347	S100
TRN300	11/21/2022	1578	S100
TRN400	11/21/2022	1603	S200
TRN400	11/20/2022	1632	S200
TRN500	11/20/2022	1571	S300
TRN500	11/19/2022	1392	S300
TRN100	11/19/2022	1526	S400
TRN100	11/18/2022	1238	S400
TRN200	11/18/2022	1235	S100
TRN200	11/15/2022	1041	S100
TRN300	11/15/2022	1996	S200
TRN300	11/15/2022	1076	S200
TRN400	11/14/2022	1565	S300
TRN400	11/12/2022	1786	S300
TRN500	11/12/2022	1267	S400
TRN500	11/11/2022	1293	S400
TRN100	11/10/2022	1302	S100
TRN100	11/10/2022	1384	S100
TRN200	11/10/2022	1839	S200
TRN200	11/09/2022	1792	S200
TRN300	11/09/2022	1095	S300
TRN300	11/08/2022	1447	S300
TRN400	11/08/2022	1806	S400
TRN400	11/04/2022	1390	S400
TRN500	11/03/2022	1495	S100
TRN500	11/03/2022	1207	S100
TRN100	11/03/2022	1864	S200
TRN100	11/02/2022	1198	S200
TRN200	11/02/2022	1214	S300
TRN200	11/01/2022	1311	S300
TRN300	10/31/2022	1038	S400
TRN300	10/30/2022	1912	S400
TRN400	10/30/2022	1711	S100
TRN400	10/30/2022	1578	S100
TRN500	10/29/2022	1345	S200
TRN500	10/28/2022	1263	S200
TRN100	10/27/2022	1975	S300
TRN100	10/25/2022	1520	S300
TRN200	10/25/2022	1670	S400
TRN200	10/25/2022	1201	S400
TRN300	10/22/2022	1030	S100
TRN300	10/22/2022	1555	S100
TRN400	10/21/2022	1780	S200
