Train ID	Date	On Time Arrival	Passenger Satisfaction
TRN100	12/31/2022	1	5
TRN100	12/31/2022	1	5
TRN200	12/30/2022	1	5
TRN200	12/30/2022	1	5
TRN300	12/29/2022	1	5
TRN300	12/29/2022	1	5
TRN400	12/29/2022	1	5
TRN400	12/28/2022	1	5
TRN500	12/28/2022	1	5
TRN500	12/27/2022	1	5
TRN100	12/26/2022	1	5
TRN100	12/26/2022	1	5
TRN200	12/25/2022	1	5
TRN200	12/25/2022	1	5
TRN300	12/24/2022	1	5
TRN300	12/24/2022	1	5
TRN400	12/21/2022	1	5
TRN400	12/19/2022	1	5
TRN500	12/19/2022	1	5
TRN500	12/19/2022	1	5
TRN100	12/19/2022	1	5
TRN100	12/18/2022	1	5
TRN200	12/17/2022	1	5
TRN200	12/17/2022	1	5
TRN300	12/17/2022	1	5
TRN300	12/14/2022	1	5
TRN400	12/14/2022	1	5
TRN400	12/14/2022	1	5
TRN500	12/13/2022	1	5
TRN500	12/12/2022	1	5
TRN100	12/11/2022	1	5
TRN100	12/11/2022	1	5
TRN200	12/11/2022	1	5
TRN200	12/09/2022	1	5
TRN300	12/09/2022	1	5
TRN300	12/08/2022	1	5
TRN400	12/08/2022	1	5
TRN400	12/07/2022	1	5
TRN500	12/06/2022	1	5
TRN500	12/05/2022	1	5
TRN100	12/05/2022	1	5
TRN100	12/05/2022	1	5
TRN200	12/04/2022	1	5
TRN200	12/04/2022	1	5
TRN300	12/04/2022	1	5
TRN300	12/03/2022	1	5
TRN400	12/02/2022	1	5
TRN400	12/01/2022	1	5
TRN500	12/01/2022	1	5
TRN500	12/01/2022	1	5
TRN100	11/30/2022	1	5
TRN100	11/30/2022	1	5
TRN200	11/30/2022	1	5
TRN200	11/30/2022	1	5
TRN300	11/29/2022	1	5
TRN300	11/29/2022	1	5
TRN400	11/29/2022	1	5
TRN400	11/28/2022	1	4
TRN500	11/27/2022	1	5
TRN500	11/25/2022	1	5
TRN100	11/25/2022	1	4
TRN100	11/25/2022	1	4
TRN200	11/22/2022	1	5
TRN200	11/22/2022	1	4
TRN300	11/22/2022	1	5
TRN300	11/21/2022	1	5
TRN400	11/21/2022	1	4
TRN400	11/20/2022	1	4
TRN500	11/20/2022	1	5
TRN500	11/19/2022	1	5
TRN100	11/19/2022	1	4
TRN100	11/18/2022	1	4
TRN200	11/18/2022	1	4
TRN200	11/15/2022	1	4
TRN300	11/15/2022	1	5
TRN300	11/15/2022	1	4
TRN400	11/14/2022	1	4
TRN400	11/12/2022	1	4
TRN500	11/12/2022	1	5
TRN500	11/11/2022	1	5
TRN100	11/10/2022	1	4
TRN100	11/10/2022	1	4
TRN200	11/10/2022	1	4
TRN200	11/09/2022	1	4
TRN300	11/09/2022	1	4
TRN300	11/08/2022	1	4
TRN400	11/08/2022	1	4
TRN400	11/04/2022	1	4
TRN500	11/03/2022	1	5
TRN500	11/03/2022	1	4
TRN100	11/03/2022	1	4
TRN100	11/02/2022	1	4
TRN200	11/02/2022	1	4
TRN200	11/01/2022	1	4
TRN300	10/31/2022	1	4
TRN300	10/30/2022	1	4
TRN400	10/30/2022	1	4
TRN400	10/30/2022	1	4
TRN500	10/29/2022	1	4
TRN500	10/28/2022	1	4
TRN100	10/27/2022	1	4
TRN100	10/25/2022	1	4
TRN200	10/25/2022	1	4
TRN200	10/25/2022	1	4
TRN300	10/22/2022	1	4
TRN300	10/22/2022	1	4
TRN400	10/21/2022	1	4
TRN400	10/20/2022	1	4
TRN500	10/19/2022	1	4
TRN500	10/19/2022	1	4
TRN100	10/17/2022	1	4
TRN100	10/15/2022	1	4
TRN200	10/15/2022	1	4
TRN200	10/14/2022	1	4
TRN300	10/14/2022	1	4
TRN300	10/13/2022	1	4
TRN400	10/13/2022	1	4
TRN400	10/13/2022	1	4
TRN500	10/13/2022	1	4
TRN500	10/10/2022	1	4
TRN100	10/09/2022	1	4
TRN100	10/07/2022	1	4
TRN200	10/04/2022	1	4
TRN200	10/03/2022	1	4
TRN300	10/02/2022	1	4
